Ajatempel,1. Mida mõistad sina subjektiivsusena hindamisprotsessis?,"2. Kas oled harjutuste jooksul tundnud, et instruktori hinnang sinu sooritusele on olnud subjektiivne?","3. Kui vastasid küsimusele nr 2 jah, siis märgi järgnevast loetelust aspektid, milles oled tundnud, et instruktori hinnang sinu sooritusele on olnud subjektiivne.","4. Kui vastasid küsimusele nr 2 jah, siis kirjelda olukordi, mil oled tundnud, et instruktori hinnang sinu sooritusele on olnud subjektiivne.",5. Millised situatsioonid või aspektid hindamise protsessis jätavad sinu meelest kõige rohkem subjektiivsusele ruumi?,"6. Kui tihti oled tundnud, et instruktori hinnang sinu sooritusele on mõjutatud... [tema tujust?]","6. Kui tihti oled tundnud, et instruktori hinnang sinu sooritusele on mõjutatud... [tema isiklikest lennujuhtimisalastest arvamustest?]","6. Kui tihti oled tundnud, et instruktori hinnang sinu sooritusele on mõjutatud... [teievahelisest suhtest, läbisaamisest?]","6. Kui tihti oled tundnud, et instruktori hinnang sinu sooritusele on mõjutatud... [juba väljakujunenud arvamusest sinu võimete kohta?]","7. Kui tihti oled tundnud, et instruktorite arvamused sinu sooritusele erinevad üksteisest igaühe erineva subjektiivsuse tõttu?","8. Kui tihti oled tundnud, et instruktor sisuliselt objektiivse tagasiside andmisel väljendab seda halvasti, nii et see jätab subjektiivse mulje?","9. Kirjelda olukordi, kus instruktor on objektiivset tagasisidet andes on end halvasti väljendanud, jättes subjektiivsuse mulje. (Kui vastasid eelmisele küsimusele mitte kunagi, siis jäta see vahele)",Palun märgi oma sugu,Mitmendal kursusel sa õpid?,"Kui sul on kommentaare või tagasisidet küsitlusele, kirjuta see siia"
2021/11/28 3:10:20 PM GMT +3,Kui hindaja tagasiside ning hinne on mõjutatud tema emotsioonidest ning arvamustest antud hinnatava kohta.,Jah,Liikluse haldamine;Fraseoloogia;Enesejuhtimine;Hajutamine ja konfliktide tuvastamine,"Enamjaolt olen saanud väga palju üldist tagasisidet oma enesejuhtimise ja närvilisuse kohta ning alati ei ole ma tajunud, et seda oleks nii palju rõhutada vaja olnud. Peale väga intensiivseid mänge on instruktorid teinud isiklikke ja ebameeldivaid kommentaare ja ""nalju"".","Liikluse juhtimine/haldamine, kuna tihtilugu oli tunda, et inimestele antakse erinevat tagasisidet. Näiteks üks sai hoopis karmima tagasiside kui teine, kui. Mängu tulid eelnevad sooritused, mis hindajat mõjutasid olema kas leebem või karmim.",tihti,tihti,harva,mõnikord,tihti,mõnikord,"Raske meenutada kindlat olukorda, aga see tunne tuleb tuttav ette. Tõenäoliselt on subjektiivse mulje jätnud näiteks instruktori tuju (on näiteks pahur ja turtsub niisama) kuigi tagasiside sisu on siiski objektiivset laadi.",Naine,4. kursusel,
2021/11/29 10:19:27 AM GMT +3,"Kui hindaja ei lähene hindamisele erapooletult, vaid arvestab õppija iseloomu, õppimishoiakuid või teisi sooritusi.",Jah,Kommunikatsioon;Fraseoloogia;Enesejuhtimine,"Kui pole fraseoloogiast mõni fraas meelde tulnud, siis instruktor ei tahtnud seda mulle öelda. Mulle tundus, et ta ei tahtnud seda öelda sellepärast, et ta arvas, et polnud viitsinud seda fraasi õppida.",Enesejuhtimine ja kommunikatsioon.,tihti,harva,mõnikord,tihti,mõnikord,mitte kunagi,,Mees,4. kursusel,
2021/12/01 10:50:16 PM GMT +3,"Hindamises oleks subjektiivsus selline olukord, kus harjutuste sooritamise järgselt hinnatakse harjutuse tegijaid erineva mõõdupuu järgi. Esimese tegija suhtes ollakse rohkem kriitiiline kui teise tegija suhtes, kuigi esimene sooritas harjutuse paremini, kui hinnata nende sooritusi erapooletult ja kindlate kriteeriumite järgi. ",Jah,Teadlikkus liiklusolukorrast;Fraseoloogia,"Fraseoloogia kasutamisel on tekkinud subjektiivseid olukordi, sest erinevatel instruktoritel on enda eelistused, milliseid fraase tuleks kasutada. Siis võib tekkida olukord, kus hindava instruktori arvates kasutatakse valet fraseoloogiat, kuigi teine instruktor on seda ""valet"" fraasi soovitanud kasutada.
Liiklusolukorrast teadlik olemist on keeruline instruktor hinnata, sest ta ei näe harjutuse tegija pähe, millest ta täpselt mõtleb või kuhu ta ekraani peal täpselt vaatab. Õigete küsimustega harjutuse liiklusolukorra kohta saab kindlaks teha, kui teadlik harjutuse tegija olukorrast sellel hetkel on. 
Lisaks on juhtunud nii, et instruktor annab erinevatele harjutuse tegijatele erineva tugevusega kriitikat, kuigi mõlema tegija sooritus on olnud enam-vähem sarnane ning toob ühe puhul väiksemaid vigu rohkem välja. Olenevalt instruktorist oli ka olukordi, kus pärast harjutuse sooritamist ei andnud instruktor eriti tagasisidet, kuigi oleks olnud põhjust mõned parandamist vajavad kohad välja tuua.  ","Ma arvan, et kõige rohkem subjektiivust võib olla olukorrateadlikkuse hindamisel ning nendel olukordadel, kus hajutus püsis või muu asi juhtus tänu õnnele ja otseselt viga ei tehtud. Siis sõltub palju instruktori tähelepanelikkusel, sest kõiki aspekte on ühel instruktoril raske jälgida.",harva,mõnikord,mitte kunagi,harva,harva,harva,"Ma mäletan, et harva võis sellist olukorda ette tulla, aga kahjuks mulle ei tule ühtegi konkreetset olukorda meelde, sest sellest kursusest on juba päris kaua möödas.",Mees,4. kursusel,
2021/12/08 10:51:13 PM GMT +3,"Kui hindaja teab hinnatava näiteks tüüpvigu või iseloomu, võib ta sellest tulenevalt mingitel juhtudel neid üle tähtsustada või vastupidi tähelepanuta jätta, kuna ei suudeta erapooletuks jääda.",Jah,Teadlikkus liiklusolukorrast;Enesejuhtimine,"Enamasti nägin ma liiklusolukorra tegelikkuses ära, kuid kuna mõtlesin pikalt kas ja kuidas asju lahendama hakata, sain tihti tagasisidet, et olukorda ei näinud ja/või ei teadvustanud. Enesejuhtimisega saaks kindlasti ka paremini toime tulla, kuid õppejõudude arvates hoidis see mind oluliselt tagasi ka mitmetes situatsioonides, kus ma enda arvates suhteliselt normaalselt asja ära lahendasin.",Töökoormuse ja enesejuhtimine,harva,mõnikord,harva,mõnikord,mõnikord,harva,"Kuna minu enesejuhtimine on mitte parimate killast ja selle eri aspektid häirisid instruktoreid erinevalt, siis sai suhteliselt samade asjade kohta siiski erinevat tagasisidet, millest osa kindlasti ka päriselt objektiivne ja osa nii ja naa.",Naine,4. kursusel,
2022/01/31 12:08:39 AM GMT +3,"Hinnang, mis ei ole otseselt mõõdetav.",Jah,Teadlikkus liiklusolukorrast;Liikluse haldamine;Töökoormuse juhtimine;Hajutamine ja konfliktide tuvastamine,"Meenuvad momendid, kus õpilasena tegin ühte viga mitmel mängul ja see jäi instruktorile meelde ning hiljemalt sarnaste olukordadega mängude tagasisides tuletas  ta seda mulle alati meelde.","Liikluse haldamine ja hajutamine, mis on lennujuhtimise põhitalad. Kui need paigas ei ole, siis tulebki subjektiivne hinnang.",mitte kunagi,tihti,mitte kunagi,mõnikord,harva,mitte kunagi,,Mees,4. kursusel,
2022/01/31 9:33:14 PM GMT +3,"Kui hindamine on mõjutatud sellest, kes sa oled.",Jah,Teadlikkus liiklusolukorrast;Liikluse haldamine;Koordineerimine,"Oli olukordasid, kus ma olin teadlik mingist liiklusolukorrast ning jälgisin seda, kuid instruktor ütles, et ma ei teinud seda, kuna varasemalt oli sarnane olukord jäänud tähelepanuta.
Liikluse haldamises tundsin vahepeal, et käidi liiga palju näpuga ette näitamas, sest varasemalt oli olnud halvemaid või aeglasemaid päevi, kus sooritus polnud nii hea. Ehk siis instruktoril oli varasematest harjutustest tunne, et olen aeglane, kuigi tegelikult edaspidi ei käinud koormus üle jõu.","Teadlikkuse hindamine. Või ka kõikide nende aspektide hindamine, mida ei saa otseselt kinnitada. Ehk siis olukorrad, kus on vaja märgata, aga pole vaja kohe tegutseda jne.",harva,mõnikord,mitte kunagi,mõnikord,harva,mitte kunagi,,Naine,4. kursusel,Kahjuks ei mäleta eriti kevadsemestri kohta.
2022/04/16 6:28:53 PM GMT +3,"Seda, et hindamisel võetakse arvesse vaid inimese sooritamis- ja õppimisoskust, mitte muid isiklikke asju.",Ei,,,"Arvan, et enim soodustab seda nt aspektid: liikluse haldamine, töökoormuse juhtimine ja enesejuhtimine.",mõnikord,mõnikord,mõnikord,mitte kunagi,mitte kunagi,mõnikord,"Esimesena meenus tagasisidena mõeldud kommentaar, mis tehti päev enne testi. Harjutus ei läinud kõige paremini, mistõttu oli instruktori kommentaar vihje, et homne test ei lähe hästi. Öeldi, et ma võiksin testi teha peale oma kursakaaslasi, sest siis minu test kestab nagunii vähe aega ja kõik saavad varakult koju ära minna.",Naine,3. kursusel,
2022/04/19 6:41:49 PM GMT +3,"Kui instruktor suhtub õpilastesse erinevalt vastavalt oma meeldivusele, mitte selle järgi, et kõiki võrdselt kohelda. Samuti kui õpetamis meetodid on väga kallutatud temale meeldivale stiilile, mitte õpetades neutraalselt (töövõtted lähtuvad instruktori eelistustest jne)",Jah,Teadlikkus liiklusolukorrast;Liikluse haldamine;Enesejuhtimine,"Ennem mängu algust ütles instruktor, et ta ei usu, et mul täna hästi läheb arvestades millise ""käki"" ma olin eelmine päev ""kokku keeranud"". (jutumärkide vahel on tsiteeritud sõnad, mis ei ole ümberjutustatud)","Olukorra hindamine, situatsiooni teadlikkus (kuna seda on raske ekraanil näidata, et sa tead mis lennuk, kus asub)",mõnikord,mõnikord,mõnikord,tihti,harva,mitte kunagi,,Naine,3. kursusel,
2022/04/21 9:44:43 PM GMT +3,Hindaja enda isiklike vaadete põhjal hinde ja tagasiside jagamine.,Jah,Teadlikkus liiklusolukorrast;Fraseoloogia;Enesejuhtimine;Hajutamine ja konfliktide tuvastamine,"Kui ma näen ja kuulen kedagi tegemas minuga samasuguseid vigu (nt sides vahesõnade- või häälikute kasutamine), kuid kuulen nende tagasisides, et seda välja ei tooda ja tagasiside üleüldiselt on antud vallas positiivsem, tekitab see küsimärke. Samuti tekivad põhimõttelised konfliktid ainult selle õppejõuga, kellega on varasemaltki tekkinud, kuigi sooritus ju nii palju instruktori vahetusega ei erine. ","Tegelikult kõik, mis ei ole sõnasõnalt kirjas kuskil dokumendis. Isegi see, et lennujuht peab olema teadlik mingisugusest asjast/olukorrast, siis on ju võimatu teada, kas õpilane on tegelikult asjast teadlik, kui ta seda välja ei ütle ning enamik ajast ei ole selle ütlemine mõistlik või sobiv. Tekivad ka juba alguses mingisugused arvamused õpilastest, sest isegi instruktorid on inimesed lol, ning eriti kui instruktori kogemust antud tasemegrupiga ei ole eriliselt palju, on seda raske tahaplaanile lükata. Kuna tegemist ei ole õige-vale hindamissüsteemiga, siis on subjektiivsusele suuuuuuuuur ruum üpris kõiges (jah, vb fraseoloogias kõige vähem, aga samas need eeee ja ääää kaovad ju ajapikku ikka ära kah)",tihti,tihti,tihti,mõnikord,tihti,tihti,"Oleneb instruktorist ja mõningatel juhtudel käib see ka teistpidi. Samas kui instruktor loeb sulle ette su tehtud vead ja sa ütled, et jah okei, sain aru, teen järgmine kord paremini, aga tema hakkab sulle algusest kõike kordama, ei jäta see kummastki osapoolest eriti ajuhiiglase muljet. Samuti on mõningates kordades puudu mõistmisest, kui üritada oma vaatepunkti selgitada, kuid pannakse täielik blokk ette ja öeldakse, et see on vale. Jah, võib vale olla küll, kuid päris suvaliselt need vaated ka ei teki ning ürita mõista, mis on jäänud õpetamises vahele, et niisugused vaatepunktid üldse tekkida võivad.",Naine,4. kursusel,"Alati on tore, kui öeldakse, et küsimustik on anonüümne, aga siis küsitakse su õppeala, sugu ja kursust ning alles on ainult 5 inimest lol. Aga tglt oli vahva, teeme veel. "
2022/04/22 11:18:56 AM GMT +3,"Subjektiivsusena hindamisprotsessis mõistan seda, et hindaja isiklik nägemus piisavast pädevusest",Ei,,,Kõige rohkem jätavad subjektiivsusele ruumi harjutusmängud,mitte kunagi,tihti,mitte kunagi,mitte kunagi,mõnikord,harva,briifingus olenevalt tujust/häälest võib jutt mõjuda personaalse eelistusena mitte reeglina,Mees,3. kursusel,
